Annual Total,Total Fossil Fuels Production (quadBTU),Nuclear Electric Power Production (quadBTU),Total Renewable Energy Production (quadBTU),Total Primary Energy Production (quadBTU),Primary Energy Imports (quadBTU),Primary Energy Exports (quadBTU),Primary Energy Net Imports (quadBTU),Primary Energy Stock Change and Other (quadBTU),Total Fossil Fuels Consumption (quadBTU),Nuclear Electric Power Consumption (quadBTU),Total Renewable Energy Consumption (quadBTU),Total Primary Energy Consumption (quadBTU)
1949,28.740479,0,1.872627,30.613106,1.448158,1.59176,-0.143602,0.396915,28.988371,0,1.872627,30.866419
1950,32.553205,0,1.906525,34.45973,1.912887,1.465322,0.447565,-1.379921,31.614755,0,1.906525,33.527374
1951,35.782118,0,1.8908,37.672919,1.892425,2.621545,-0.729119,-1.057801,33.987736,0,1.8908,35.885997
1952,34.964662,0,1.848694,36.813356,2.145984,2.365131,-0.219147,-0.959659,33.778116,0,1.848694,35.63455
1953,35.338361,0,1.792616,37.130976,2.313042,1.866013,0.447029,-0.976252,34.802286,0,1.792616,36.601753
1954,33.752228,0,1.775242,35.52747,2.347876,1.696301,0.651575,-0.544362,33.851458,0,1.775242,35.634683
1955,37.346797,0,1.82074,39.167537,2.789908,2.285508,0.504399,-0.4569,37.380419,0,1.82074,39.215038
1956,39.75301,0,1.843178,41.596188,3.206741,2.945377,0.261364,-1.143199,38.855656,0,1.843178,40.714353
1957,40.11844,0.000112,1.788598,41.90715,3.528983,3.439441,0.089541,-1.303379,38.892315,0.000112,1.788598,40.693313
1958,37.205122,0.001915,1.813136,39.020172,3.884371,2.049839,1.834533,-0.347378,38.680955,0.001915,1.813136,40.507326
1959,39.032065,0.002187,1.834493,40.868746,4.076278,1.533808,2.54247,-1.055097,40.507312,0.002187,1.834493,42.356119
1960,39.854831,0.006026,1.829873,41.69073,4.187626,1.477475,2.710151,-0.45848,42.091028,0.006026,1.829873,43.942401
1961,40.28869,0.019678,1.825773,42.134141,4.436901,1.376584,3.060316,-0.630129,42.711189,0.019678,1.825773,44.564329
1962,41.709896,0.026394,1.887502,43.623792,4.994279,1.472536,3.521744,-0.60043,44.62938,0.026394,1.887502,46.545105
1963,44.014731,0.038147,1.900483,45.953362,5.086654,1.835183,3.251471,-0.812148,46.45372,0.038147,1.900483,48.392685
1964,45.76318,0.039819,1.952686,47.755686,5.447296,1.814661,3.632635,-0.905457,48.483687,0.039819,1.952686,50.482863
1965,47.205318,0.043164,2.007517,49.255999,5.891935,1.828933,4.063003,-0.754078,50.514724,0.043164,2.007517,52.564923
1966,50.010529,0.064158,2.044989,52.119676,6.145832,1.829067,4.316764,-0.874747,53.448822,0.064158,2.044989,55.561695
1967,52.568322,0.088456,2.108853,54.765631,6.159155,2.115402,4.043753,-1.495924,55.117171,0.088456,2.108853,57.31346
1968,54.274269,0.141534,2.191661,56.607464,6.905114,1.998489,4.906625,-0.693604,58.489442,0.141534,2.191661,60.820485
1969,56.251915,0.153722,2.307418,58.713055,7.676216,2.125659,5.550558,-0.454827,61.343989,0.153722,2.307418,63.808785
1970,59.152139,0.239347,2.289021,61.680507,8.341615,2.632135,5.70948,-1.35416,63.500772,0.239347,2.289021,66.035827
1971,58.01067,0.412939,2.353833,60.777442,9.53477,2.150898,7.383872,-0.809423,64.573073,0.412939,2.353833,67.351891
1972,58.904079,0.583752,2.449491,61.937322,11.387141,2.11831,9.268831,-0.478635,67.668048,0.583752,2.449491,70.727518
1973,58.207232,0.910177,2.475544,61.592952,14.613145,2.033086,12.580059,-0.456125,70.28245,0.910177,2.475544,73.716886
1974,56.294408,1.272083,2.586001,60.152492,14.304275,2.203366,12.100909,-0.47993,67.872076,1.272083,2.586001,71.773471
1975,54.696919,1.899798,2.544167,59.140884,14.032389,2.323251,11.709137,-1.061964,65.32299,1.899798,2.544167,69.788058
1976,54.683564,2.111121,2.704698,59.499382,16.760059,2.171688,14.588371,-0.171178,69.071379,2.111121,2.704698,73.916575
1977,55.059451,2.701762,2.613474,60.374687,19.948131,2.051891,17.89624,-1.946428,70.949841,2.701762,2.613474,76.324499
1978,55.03064,3.024126,3.014948,61.069714,19.10617,1.920437,17.185733,-0.339235,71.80982,3.024126,3.014948,77.916212
1979,57.951852,2.775827,3.131031,63.85871,19.459817,2.855114,16.604703,-1.643449,72.843726,2.775827,3.131031,78.819964
1980,58.979084,2.739169,3.445378,65.163631,15.796235,3.694771,12.101464,-1.226946,69.782203,2.739169,3.445378,76.038149
1981,58.488231,3.007589,3.515922,65.011741,13.719027,4.307241,9.411786,-0.264107,67.522504,3.007589,3.515922,74.15942
1982,57.415947,3.131148,3.745796,64.292891,11.861081,4.607601,7.253481,-0.734024,63.835377,3.131148,3.745796,70.812347
1983,54.368171,3.202549,4.069164,61.639884,11.751802,3.692931,8.058872,0.79019,63.096686,3.202549,4.069164,70.488946
1984,58.809192,3.552531,4.104121,66.465843,12.470726,3.786147,8.684579,-0.913469,66.444979,3.552531,4.104121,74.236954
1985,57.501721,4.075563,4.018174,65.595457,11.780575,4.196178,7.584397,1.088437,66.0349,4.075563,4.018174,74.268292
1986,56.539007,4.380109,3.970473,64.889589,14.151402,4.021479,10.129923,-0.56129,65.985158,4.380109,3.970473,74.458221
1987,57.130643,4.753933,3.774443,65.659019,15.398223,3.81195,11.586273,-0.084454,68.474361,4.753933,3.774443,77.160838
1988,57.845857,5.586968,3.822682,67.255507,17.29593,4.366453,12.929477,0.840113,71.507048,5.586968,3.822682,81.025097
1989,57.447703,5.602161,4.206136,67.256001,18.766297,4.660899,14.105399,1.350072,72.865725,5.602161,4.206136,82.711472
1990,58.523186,6.10435,3.862708,68.490245,18.817258,4.752484,14.064775,-0.299475,72.280598,6.10435,3.862708,82.255545
1991,57.831148,6.422132,3.901431,68.154712,18.334821,5.140965,13.193856,0.865379,71.823417,6.422132,3.901431,82.213947
1992,57.614681,6.479206,3.931748,68.025635,19.372204,4.936942,14.435263,1.375179,73.338389,6.479206,3.931748,83.836077
1993,55.78027,6.410499,4.007312,66.198081,21.218334,4.226672,16.991662,2.001548,74.678844,6.410499,4.007038,85.19129
1994,58.002045,6.693877,4.056461,68.752384,22.306672,4.035284,18.271388,0.028782,76.149278,6.693877,4.056461,87.052554
1995,57.496395,7.075436,4.294583,68.866415,22.179612,4.495889,17.683723,2.117841,77.162044,7.075436,4.296643,88.667979
1996,58.337658,7.086674,4.479994,69.904326,23.633256,4.612553,19.020702,2.478587,79.698299,7.086674,4.481499,91.403616
1997,58.806283,6.596992,4.466063,69.869338,25.11924,4.493397,20.625843,1.461071,80.779682,6.596992,4.463375,91.956252
1998,59.265918,7.067809,4.174139,70.507865,26.472519,4.236745,22.235774,-0.142045,81.272862,7.067809,4.172699,92.601594
1999,57.559797,7.610256,4.202601,69.372654,27.151581,3.668786,23.482795,1.376089,82.321598,7.610256,4.20076,94.231538
2000,57.306574,7.862349,4.093033,69.261956,28.865253,3.961655,24.903597,2.528037,84.620442,7.862349,4.095599,96.69359
2001,58.484745,8.028853,3.513751,70.02735,30.052175,3.731109,26.321066,-1.932703,82.799758,8.028853,3.511945,94.415713
2002,56.776711,8.145429,3.770941,68.693081,29.330543,3.60824,25.722303,1.160046,83.59225,8.145429,3.766156,95.575431
2003,55.982583,7.959622,3.914186,67.856392,31.006947,4.01313,26.993817,0.956284,83.909087,7.959622,3.915879,95.806493
2004,55.88402,8.222774,4.093471,68.200265,33.492251,4.35136,29.140891,0.692013,85.666271,8.222774,4.105527,98.033168
2005,54.995301,8.16081,4.22016,67.37627,34.659268,4.461886,30.197382,0.527271,85.622667,8.16081,4.232904,98.100924
2006,55.876707,8.214626,4.429647,68.52098,34.648789,4.727336,29.921453,-1.207489,84.477197,8.214626,4.480272,97.234944
2007,56.369113,8.458589,4.582116,69.409818,34.678534,5.33781,29.340725,0.21457,85.805032,8.458589,4.594859,98.965112
2008,57.526852,8.426491,5.084563,71.037906,32.970368,6.949183,26.021185,-0.412363,83.040546,8.426491,5.067705,96.646728
2009,56.611549,8.35522,5.309146,70.275915,29.690334,6.9202,22.770134,-1.419619,77.862484,8.35522,5.292537,91.626429
2010,58.15929,8.434433,5.94258,72.536302,29.865766,8.17603,21.689737,0.915765,80.723061,8.434433,5.895677,95.141804
2011,60.529497,8.268698,6.404003,75.202198,28.747981,10.372719,18.375263,0.388999,79.262601,8.268698,6.308059,93.966459
2012,62.297744,8.061822,6.18697,76.546535,27.068146,11.267352,15.800794,-0.670007,77.303882,8.061822,6.150362,91.677322
2013,64.179522,8.244433,6.560783,78.984738,24.622566,11.787545,12.83502,2.433441,79.22427,8.244433,6.587023,94.253199
2014,69.599191,8.337559,6.832704,84.769454,23.240986,12.269775,10.971211,-0.408689,80.016732,8.337559,6.796126,95.331976
